Scheme Name	Net Asset Value
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6601
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.6978
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.6518
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.1491
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5201
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.4828
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.7135
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.6274
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.0870
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.7787
DSP Corporate Bond Fund - Direct - Growth	16.6129
DSP Corporate Bond Fund - Direct - IDCW	11.7478
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6262
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.3875
DSP Corporate Bond Fund - Regular - Growth	16.3151
DSP Corporate Bond Fund - Regular - IDCW	11.7084
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.6012
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.7375
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	110.4329
Franklin India Corporate Debt Fund - Growth	101.7898
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.3767
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.5468
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.8367
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1985
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.7769
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.5810
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3292
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1071
HDFC Corporate Bond Fund - Growth Option	33.2256
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.9787
HDFC Corporate Bond Fund - IDCW Option	20.1137
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.8197
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.5584
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.4567
HSBC Corporate Bond Fund - Direct Annual IDCW	12.2757
HSBC Corporate Bond Fund - Direct Growth	79.8042
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.4862
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.0609
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0031
HSBC Corporate Bond Fund - Regular Growth	74.8637
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.0766
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.7612
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.4372
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.9860
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2931
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.5340
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.5151
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4474
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2281
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	2004.8721
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1283.0443
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3484.2326
Invesco India Corporate Bond Fund - Direct Plan - Growth	3483.1205
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1264.5702
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1170.9787
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3410.1126
Invesco India Corporate Bond Fund - Growth	3246.2523
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1860.6438
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1165.4482
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	4034.6582
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1073.3864
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3859.9292
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1257.4165
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.2850
Mirae Asset Corporate Bond Fund Direct IDCW	13.2819
Mirae Asset Corporate Bond Fund Regular Growth	13.0183
Mirae Asset Corporate Bond Fund Regular IDCW	13.0182
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0871
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0879
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.4144
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7650
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.2242
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0939
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	45.9960
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	64.4244
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.7936
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	61.3189
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.6449
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6351
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.0655
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0936
PGIM India Corporate Bond Fund - Annual Dividend	10.7109
PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend	16.4895
PGIM India Corporate Bond Fund - Direct Plan - Growth	49.1928
PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend	15.0616
PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend	13.1277
PGIM India Corporate Bond Fund - Growth	44.0579
PGIM India Corporate Bond Fund - Monthly Dividend	12.9292
PGIM India Corporate Bond Fund - Premium Plus Plan - Growth	21.588
PGIM India Corporate Bond Fund - Quarterly Dividend	11.5699
PGIM India Premier Bond Fund - Annual Bonus	24.9334
PGIM India Premier Bond Fund - Bonus	15.2260
PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus	13.2164
PGIM India Premier Bond Fund - Half-Yearly Bonus	13.5688
SBI Corporate Bond Fund - Direct Plan - Growth	16.3409
